상세,관광객수,평균기온
2015년01월,792668,7.4
2015년02월,721587,7.3
2015년03월,791714,10.4
2015년04월,939325,15.1
2015년05월,1015339,18.8
2015년06월,756387,22
2015년07월,995372,25.6
2015년08월,1115123,26.4
2015년09월,963152,23.2
2015년10월,1096252,19.2
2015년11월,952523,15.2
2015년12월,900723,10
2016년01월,884466,6.1
2016년02월,879708,7.3
2016년03월,920582,10.8
2016년04월,1066510,15.6
2016년05월,1095575,18.9
2016년06월,1065241,22.2
2016년07월,1143578,27.4
2016년08월,1116449,28.5
2016년09월,1027964,23.9
2016년10월,1110276,20.1
2016년11월,990222,13.7
2016년12월,949388,9.5
2017년01월,1005438,6.6
2017년02월,905821,6.8
2017년03월,1000871,9.8
2017년04월,1214588,15.7
2017년05월,1219337,19.5
2017년06월,1187388,22
2017년07월,1191311,29.2
2017년08월,1240389,28.7
2017년09월,1186048,24
2017년10월,1229679,19.3
2017년11월,1097987,12.6
2017년12월,1043775,7.2
2018년1월,1044956,4.9
2018년2월,892863,5.5
2018년3월,1033778,11.4
2018년4월,1224520,15.9
2018년5월,1205904,19.1
2018년6월,1178012,22.3
2018년7월,1122890,27.3
2018년8월,1146756,28.8
2018년9월,1098591,23.9
2018년10월,1128247,17.9
2018년11월,1036031,13.9
2018년12월,976580,8.7
