"지역별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"지역별(1)",사업체,사업체,사업체,사업체,사업체,사업체,사업체,사업체,구성비,구성비,구성비,구성비,구성비,구성비,구성비,사업체,사업체,사업체,사업체,사업체,사업체,사업체,사업체,구성비,구성비,구성비,구성비,구성비,구성비,구성비,사업체,사업체,사업체,사업체,사업체,사업체,사업체,사업체,구성비,구성비,구성비,구성비,구성비,구성비,구성비,사업체,사업체,사업체,사업체,사업체,사업체,사업체,사업체,구성비,구성비,구성비,구성비,구성비,구성비,구성비,사업체,사업체,사업체,사업체,사업체,사업체,사업체,사업체,구성비,구성비,구성비,구성비,구성비,구성비,구성비
"지역별(1)",전체,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업,전체,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업,전체,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업,전체,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업,전체,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업
"지역별(1)",항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목
"전체",18441,11722,1074,385,508,16,358,4378,63.6,5.8,2.1,2.8,0.1,1.9,23.7,20769,12854,1278,336,677,17,593,5014,61.9,6.2,1.6,3.3,0.1,2.9,24.1,23874,14607,1503,1213,619,17,1060,4855,61.2,6.3,5.1,2.6,0.1,4.4,20.3,27696,16605,1716,3168,700,17,1782,3708,60,6.2,11.4,2.5,0.1,6.4,13.4,33089,19944,1843,3963,890,17,2548,3884,60.3,5.6,12,2.7,0.1,7.7,11.7
"서울",6705,4914,185,91,345,3,16,1151,73.3,2.8,1.4,5.1,0,0.2,17.2,7435,5359,233,7,434,3,33,1366,72.1,3.1,0.1,5.8,0,0.4,18.4,8406,6187,292,15,411,3,79,1425,73.6,3.5,0.2,4.9,0,0.9,17,9457,6996,354,884,465,3,130,625,74,3.7,9.3,4.9,0,1.4,6.6,11984,9152,397,1054,544,3,235,600,76.4,3.3,8.8,4.5,0,2,5
"부산",1175,801,56,28,35,2,13,240,68.2,4.8,2.4,3,0.2,1.1,20.4,1226,852,68,13,43,2,17,231,69.5,5.5,1.1,3.5,0.2,1.4,18.8,1400,927,93,10,44,2,62,252,66.2,6.6,0.7,3.1,0.1,4.4,18,1741,1113,114,141,49,2,174,148,63.9,6.5,8.1,2.8,0.1,10,8.5,1972,1250,147,139,47,2,226,161,63.4,7.5,7,2.4,0.1,11.5,8.2
"대구",601,426,19,4,16,1,13,122,70.9,3.2,0.7,2.7,0.2,2.2,20.3,662,456,19,2,22,1,20,142,68.9,2.9,0.3,3.3,0.2,3,21.5,748,531,21,7,24,1,24,132,71,2.8,0.9,3.2,0.1,3.2,17.6,917,630,21,39,27,1,64,135,68.7,2.3,4.3,2.9,0.1,7,14.7,1033,689,26,49,30,1,99,139,66.7,2.5,4.7,2.9,0.1,9.6,13.5
"인천",626,347,60,29,10,1,13,166,55.4,9.6,4.6,1.6,0.2,2.1,26.5,694,385,74,10,14,1,21,189,55.5,10.7,1.4,2,0.1,3,27.2,610,363,93,32,8,1,37,92,59.5,15.2,5.2,1.3,0.2,6.1,15.1,859,405,115,108,7,1,63,160,47.1,13.4,12.6,0.8,0.1,7.3,18.6,1016,499,126,130,24,1,94,143,49.1,12.4,12.8,2.4,0.1,9.3,14.1
"광주",409,311,19,0,8,0,5,66,76,4.6,0,2,0,1.2,16.1,452,333,19,0,18,0,9,73,73.7,4.2,0,4,0,2,16.2,500,379,18,3,16,0,12,79,75.8,3.6,0.6,3.2,0,2.4,15.8,583,435,18,30,17,0,25,58,74.6,3.1,5.1,2.9,0,4.3,9.9,660,513,15,28,24,0,44,36,77.7,2.3,4.2,3.6,0,6.7,5.5
"대전",419,280,19,0,24,0,4,92,66.8,4.5,0,5.7,0,1,22,454,308,19,1,28,0,19,79,67.8,4.2,0.2,6.2,0,4.2,17.4,528,358,24,7,29,0,36,89,67.8,4.5,1.3,5.5,0,6.8,16.9,596,400,23,12,30,0,58,73,67.1,3.9,2,5,0,9.7,12.2,607,462,20,12,21,0,84,8,76.1,3.3,2,3.5,0,13.8,1.3
"울산",249,132,11,1,3,0,11,91,53,4.4,0.4,1.2,0,4.4,36.5,281,143,10,1,4,0,16,107,50.9,3.6,0.4,1.4,0,5.7,38.1,314,166,13,7,3,0,34,96,52.9,4.1,2.2,1,0,10.8,30.6,352,188,14,15,3,0,53,79,53.4,4,4.3,0.9,0,15.1,22.4,465,231,13,42,8,0,73,99,49.7,2.8,9,1.7,0,15.7,21.3
"세종",18,17,0,0,0,0,1,0,94.4,0,0,0,0,5.6,0,22,19,0,0,1,0,2,0,86.4,0,0,4.5,0,9.1,0,36,24,0,4,0,0,10,5,66.7,0,11.1,0,0,27.8,13.9,48,29,0,5,2,0,12,0,60.4,0,10.4,4.2,0,25,0,89,58,0,3,5,0,17,6,65.2,0,3.4,5.6,0,19.1,6.7
"경기도",2381,1313,117,46,19,0,79,807,55.1,4.9,1.9,0.8,0,3.3,33.9,2651,1503,129,75,28,0,129,787,56.7,4.9,2.8,1.1,0,4.9,29.7,3174,1743,148,223,25,0,300,692,54.9,4.7,7,0.8,0,9.5,21.8,3621,1893,163,475,40,0,471,579,52.3,4.5,13.1,1.1,0,13,16,4313,2199,156,581,38,0,647,692,51,3.6,13.5,0.9,0,15,16
"강원도",626,243,118,25,5,2,50,183,38.8,18.8,4,0.8,0.3,8,29.2,722,278,127,40,15,2,58,202,38.5,17.6,5.5,2.1,0.3,8,28,945,334,128,268,13,2,63,169,35.3,13.5,28.4,1.4,0.2,6.7,17.9,1177,380,148,388,13,2,83,163,32.3,12.6,33,1.1,0.2,7.1,13.8,1165,269,133,480,30,2,115,137,23.1,11.4,41.2,2.6,0.2,9.9,11.8
"충청북도",363,252,32,6,3,0,14,56,69.4,8.8,1.7,0.8,0,3.9,15.4,405,274,29,12,4,0,16,70,67.7,7.2,3,1,0,4,17.3,547,321,29,103,4,0,34,56,58.7,5.3,18.8,0.7,0,6.2,10.2,617,334,32,128,4,0,63,56,54.1,5.2,20.7,0.6,0,10.2,9.1,719,382,32,159,11,0,87,48,53.1,4.5,22.1,1.5,0,12.1,6.7
"충청남도",509,270,38,17,0,0,29,155,53,7.5,3.3,0,0,5.7,30.5,595,305,37,34,2,0,44,173,51.3,6.2,5.7,0.3,0,7.4,29.1,702,357,37,96,1,0,69,121,50.9,5.3,13.7,0.1,0,9.8,17.2,781,364,38,148,2,0,100,129,46.6,4.9,19,0.3,0,12.8,16.5,918,400,41,181,5,0,132,159,43.6,4.5,19.7,0.5,0,14.4,17.3
"전라북도",725,410,36,11,2,0,16,250,56.6,5,1.5,0.3,0,2.2,34.5,908,458,36,14,6,0,23,371,50.4,4,1.5,0.7,0,2.5,40.9,1069,515,49,72,6,0,29,419,48.2,4.6,6.7,0.6,0,2.7,39.2,1201,556,48,214,7,0,52,324,46.3,4,17.8,0.6,0,4.3,27,1391,621,50,256,17,0,78,370,44.6,3.6,18.4,1.2,0,5.6,26.6
"전라남도",763,376,54,17,0,0,32,284,49.3,7.1,2.2,0,0,4.2,37.2,861,376,68,28,2,0,56,331,43.7,7.9,3.3,0.2,0,6.5,38.4,1086,427,83,72,2,0,82,374,39.3,7.6,6.6,0.2,0,7.6,34.4,1220,484,143,127,1,0,101,364,39.7,11.7,10.4,0.1,0,8.3,29.8,1373,565,105,160,3,0,138,403,41.2,7.6,11.7,0.2,0,10.1,29.4
"경상북도",837,369,68,14,3,0,22,361,44.1,8.1,1.7,0.4,0,2.6,43.1,942,412,73,20,7,0,35,395,43.7,7.7,2.1,0.7,0,3.7,41.9,1236,486,75,129,11,0,76,456,39.3,6.1,10.4,0.9,0,6.1,36.9,1378,527,75,201,12,0,112,451,38.2,5.4,14.6,0.9,0,8.1,32.7,1556,561,73,286,19,0,154,464,36.1,4.7,18.4,1.2,0,9.9,29.8
"경상남도",832,461,62,13,11,0,21,264,55.4,7.5,1.6,1.3,0,2.5,31.7,975,505,68,31,17,0,69,285,51.8,7,3.2,1.7,0,7.1,29.2,1135,570,81,117,18,0,80,267,50.2,7.1,10.3,1.6,0,7,23.5,1364,638,90,196,18,0,190,232,46.8,6.6,14.4,1.3,0,13.9,17,1646,707,104,275,36,0,263,261,43,6.3,16.7,2.2,0,16,15.9
"제주도",1203,800,180,83,24,7,19,90,66.5,15,6.9,2,0.6,1.6,7.5,1484,888,269,48,32,8,26,213,59.8,18.1,3.2,2.2,0.5,1.8,14.4,1439,919,319,48,4,8,33,131,63.9,22.2,3.3,0.3,0.6,2.3,9.1,1784,1233,320,57,3,8,31,132,69.1,17.9,3.2,0.2,0.4,1.7,7.4,2182,1386,406,129,29,8,64,159,63.5,18.6,5.9,1.3,0.4,2.9,7.3
