지명,검색점수
가시아방국수,188
고집돌우럭제주공항점,119
곽지해수욕장,489
국수바다본점,75
금능해수욕장,36
금호리조트제주,13
김녕해수욕장,51
나인브릿지CC,102
네거리식당,22
더클리프,31
델문도,314
동문재래시장,1311
렛츠런파크제주,120
롯데마트제주점,107
롯데호텔제주점,416
마노르블랑,1230
만장굴,193
맛나식당,142
메종글래드제주호텔,175
몽상드애월,44
무지개렌트카,38
바다다,329
박물관은살아있다중문점,32
브릭캠퍼스,16
비자림,639
빛의벙커,465
사려니숲,739
산방산탄산온천,377
새별오름,846
새빌,104
서귀포매일올레시장,930
섭지코지,750
성산일출봉,822
성산포종합여객터미널,117
성산항,167
소노벨제주,134
쇠소깍,798
신라호텔,483
아쿠아플라넷제주,585
약천사,18
엉또폭포,65
에코랜드,810
오는정김밥,253
오설록티뮤지엄,897
용눈이오름,266
용두암,605
용머리해안,60
우도도항선선착장,374
운정이네본점,39
이마트서귀포점,707
이마트신제주점,572
이마트제주점,289
이호테우해변,375
자매국수노형점,139
제주관광공사면세점,18
제주국제공항,930
제주국제컨벤션센터,168
제주김만복본점,1394
제주대학교병원,284
제주레일바이크,13
제주민속오일시장,30
제주부영호텔리조트,59
제주시청,263
제주오성식당,12
제주항공우주박물관,152
제주항연안여객터미널,20
제주허브동산,60
주상절리대,522
천지연폭포,701
춘심이네본점,92
카멜리아힐,573
카페글렌코,36
퍼시픽랜드,45
하이엔드제주,293
한화리조트제주,717
함덕해수욕장,794
해비치호텔,704
협재해변,883
휘닉스제주,217
휴애리자연생활공원,485
휴애리핑크뮬리축제,102
