지명,점수
가시아방국수,434
고집돌우럭제주공항점,62
고집돌우럭중문점,20
곽지해수욕장,268
국수바다본점,25
궷물오름,199
금호리조트제주,61
네거리식당,37
녹산로유채꽃도로,91
더클리프,4
델문도,305
돌카롱사려니숲길점,164
동문공설시장,630
동문수산시장,438
동문재래시장,1147
렛츠런파크제주,16
롯데마트제주점,71
롯데스카이힐제주컨트리클럽,12
롯데시네마서귀포,10
롯데호텔제주점,427
만장굴,61
맛나식당,27
메종글래드제주호텔,125
몽상드애월,233
바다다,459
박물관은살아있다중문점,45
백약이오름,1
봄날카페,4
비자림,572
빛의벙커,360
사려니숲,570
산방산,293
산방산탄산온천,313
새별오름,36
서귀포매일올레시장,900
섭지코지,792
성산일출봉,838
성산항,384
소노벨제주,216
쇠소깍,745
신라호텔,481
신양섭지코지해변,41
아쿠아플라넷제주,622
엉또폭포,1
에코랜드,747
오는정김밥,142
오라CC,15
오설록티뮤지엄,865
용눈이오름,1
용두암,679
용머리해안,340
우도도항선선착장,215
운정이네본점,33
이마트서귀포점,674
이마트신제주점,493
이마트제주점,64
이호테우해변,418
자매국수노형점,199
제주43평화공원,26
제주관광공사면세점,108
제주국제공항,900
제주국제컨벤션센터,195
제주김만복동문시장점,36
제주김만복본점,1489
제주대학교,75
제주대학교병원,348
제주민속촌,5
제주부영호텔리조트,3
제주시청,319
제주여미지식물원,38
제주오성식당,56
제주왕벚꽃축제장전리,37
제주유채꽃축제,281
제주종합경기장,18
제주항공우주박물관,17
제주허브동산,1
조랑말체험공원,111
주상절리대,559
천제연폭포,1
천지연폭포,720
춘심이네본점,102
카멜리아힐,615
퍼시픽랜드,47
하이엔드제주,264
한담해안산책로,2
한라산둘레길사려니숲길,8
한라산청정고사리축제,14
한림공원,254
한화리조트제주,759
함덕해수욕장,812
해비치리조트,248
해비치호텔,408
헬로키티아일랜드,8
협재해변,870
휘닉스제주,69
휴애리수국축제,186
휴애리자연생활공원,466
