,1老,2老,3老,4老,5老,6老,7老,8老,9老,10老,11老 捞惑
郴-15~20技,0,4.7,31.4,45.9,11.2,1.9,1.1,0.7,0,0.1,2.9
郴-21~30技,0.1,4.9,56,27,6.4,1.7,1.7,0.4,0.1,0.2,1.6
郴-31~40技,0.8,5.7,49.6,32,5.6,1.6,1.7,0.2,0.1,0.7,1.9
郴-41~50技,1,7.3,50,28.9,7.7,1.2,1.9,0,0,0.4,1.4
郴-51~60技,0.8,9.1,54.1,26.7,3.8,1,1.7,0.3,0.2,0.6,1.5
郴-61技 捞惑,1,4.8,55.3,28.5,4.7,0.8,1.7,0.3,0,1.5,1.5
寇-15~20技,1.1,3.2,21.4,28.3,24.4,6.7,0.7,6.2,0.0,0.4,7.6
寇-21~30技,0.4,4.7,26.8,30.0,22.6,8.1,3.1,1.5,0.4,0.7,1.6
寇-31~40技,0.8,3.2,23.5,31.6,21.8,5.2,2.6,2.8,1.1,4.4,3.0
寇-41~50技,1.2,7.3,27.1,25.6,20.0,9.6,3.3,1.2,0.0,0.8,3.9
寇-51~60技,0.0,1.2,26.0,18.2,38.2,4.4,2.7,6.0,0.9,0.5,1.9
寇-61技 捞惑,0.0,1.5,33.0,35.1,17.0,6.8,1.5,0.0,0.0,0.0,5.1
