"응답자특성별(1)",응답자특성별(2),2017,2017,2017,2017,2017,2017
"응답자특성별(1)",응답자특성별(2),사례수 (명),전혀그렇지않다 (%),그렇지않다 (%),보통이다 (%),그렇다 (%),매우그렇다 (%)
"전체",소계,5831,1.6,5.7,24.3,45.5,22.9
"거주지별",서울시,1556,0.8,5.1,24.8,45.2,24.1
"거주지별",부산시,459,2.1,5.6,23.1,47.1,22.1
"거주지별",대구시,239,3,6.5,24.5,46.1,19.9
"거주지별",인천시,344,2.4,8.2,19,47.4,23
"거주지별",광주시,282,2.3,3.9,28.8,41.9,23.2
"거주지별",대전시,144,0.8,5,18.4,47.8,27.9
"거주지별",울산시,191,2.2,7.4,23.3,44.3,22.8
"거주지별",경기도,1243,1.9,5.5,23.7,46.6,22.3
"거주지별",강원도,166,0.7,5.8,27.8,43.1,22.5
"거주지별",충청도,355,1.7,5,23.5,40.6,29.2
"거주지별",전라도,415,2,7.3,28.4,43.7,18.6
"거주지별",경상도,387,1.7,5.1,25.4,47.3,20.5
"거주지별",기타(국외),50,0,8.6,21.8,55.4,14.2
"성별",남자,2795,1.8,6.1,25.8,43.1,23.2
"성별",여자,3036,1.4,5.3,23,47.7,22.6
"연령별",15 ~ 20 세,400,1.7,3.3,20.7,48.4,26
"연령별",21 ~ 30 세,2101,1.2,5,18.9,47.1,27.8
"연령별",31 ~ 40 세,1525,1.6,4.8,26.2,46.5,20.8
"연령별",41 ~ 50 세,1084,1.7,6.4,28.7,44.8,18.4
"연령별",51 ~ 60 세,563,3.6,10.4,31.3,37.5,17.2
"연령별",61세이상,158,0.2,8.3,32.7,38,20.8
"방문목적별",휴가 및 순수여행,4806,1.6,5.3,23.6,46.2,23.3
"방문목적별",비즈니스여행,521,1.7,7,31.3,41.6,18.4
"방문목적별",기타여행,504,2.2,7.8,24.2,42.1,23.7
"여행형태별",개별여행,5396,1.4,5.6,24,45.9,23
"여행형태별",패키지여행,313,3.5,6.6,31.2,37.7,21.1
"여행형태별",부분패키지여행,122,5,6.1,23.5,43.5,21.9
"방문횟수별",1회,1759,2.4,4.8,23.3,46.4,23.1
"방문횟수별",2회,1556,1.2,5.8,24.3,44.9,23.9
"방문횟수별",3회,910,0.8,5.5,24.5,46.4,22.7
"방문횟수별",4회이상,1606,1.6,6.6,25.5,44.5,21.8
