,여행정보를 얻기 어렵다,관광정보가 정확하지 않다,관광종사원이 불친절하다,안내표지판이 부정확하다,식당과 음식이 불결하다,음식이 입에 맞지 않는다,물가가 비싸다,대중교통 이용이 불편하다,택시기사 서비스가 불편하다,관광가이드의 서비스가 좋지 않다,쇼핑품목이 다양하지 못하다,상품구입을 강요한다,기타,불만족하거나 불편했던 점이 없다,언어소통이 불편하다
내-15~20세,6.7,8.5,3.6,3.6,1.9,3.7,19.1,26,1.3,0.9,5.7,5.5,17.5,44.8,
내-21~30세,2.4,2.9,2.6,1.8,1.4,0.4,22,10.7,3.3,0.3,3.6,1,9.3,57.8,
내-31~40세,2.1,2.1,3.5,1.8,1.3,1.7,25.3,4.5,1,0.2,3.6,0.2,7.2,63.1,
내-41~50세,1.6,2.6,2.2,1.2,1.8,1.7,23.1,2.6,1.4,0.2,2.7,0.4,6,65.7,
내-51~60세,2.1,1,3.8,2.2,2.2,1.9,21.8,2,0.7,0.5,1.5,0.4,5.6,68.2,
내-61세 이상,1.2,1.8,3.2,1.7,1.3,0.5,21.6,3.1,0.1,0,1.5,0.2,4.9,67.9,
외 15~20세,12.3,3.4,2.6,8.4,2.1,6.1,14.3,19,9.3,1.5,5.7,1.7,30.4,34.1,2.3
외 21~30세,13.2,3.5,6.7,4,2.1,9.2,19.9,14.2,4,1.3,11.3,2.7,21.5,38.2,1.5
외 31~40세,12,5,6.5,5.4,1.6,10.5,16.6,13.4,3.9,1.5,10.7,2.9,24.9,39.9,2
외 41~50세,10.5,2.6,3.8,6.8,1,4,18.5,11.8,3.7,2,4.1,3.8,22.9,44.1,3.9
외 51~60세,10.7,5.7,2.9,4.8,10.2,15,13.5,4.6,2.5,3.3,4.5,1.5,33.5,27.6,3
외 61세 이상,32,4.8,2.5,14,1.7,3.2,7.1,23.9,12.8,2.5,5.7,2.3,35,31.3,0.8
