특성별(1),특성별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
특성별(1),특성별(2),시설상태,시설상태,시설상태,시설상태,시설상태,시설상태,종사원 친절도,종사원 친절도,종사원 친절도,종사원 친절도,종사원 친절도,종사원 친절도,상품의 다양성,상품의 다양성,상품의 다양성,상품의 다양성,상품의 다양성,상품의 다양성
특성별(1),특성별(2),응답자수 (명),전혀 그렇지 않다 (%),그렇지 않다 (%),보통이다 (%),그렇다 (%),매우 그렇다 (%),응답자수 (명),전혀 그렇지 않다 (%),그렇지 않다 (%),보통이다 (%),그렇다 (%),매우 그렇다 (%),응답자수 (명),전혀 그렇지 않다 (%),그렇지 않다 (%),보통이다 (%),그렇다 (%),매우 그렇다 (%)
전체,소계,"5,415",1.0,1.3,30.2,48.6,18.9,"5,415",1.2,2.4,28.1,48.3,20.0,"5,412",1.6,4.4,31.6,42.9,19.4
거주지별,서울시,"1,389",0.5,1.4,34.1,45.7,18.3,"1,389",1.0,2.7,30.5,46.5,19.3,"1,390",1.6,6.0,34.0,40.1,18.3
,부산시,434,0.6,1.8,31.6,49.9,16.2,434,1.3,2.2,30.6,49.2,16.7,434,1.4,5.8,31.1,43.6,18.1
,대구시,225,1.5,1.7,25.8,57.8,13.1,225,1.5,2.7,26.8,54.9,14.1,225,2.1,1.8,30.6,49.4,16.1
,인천시,315,1.3,2.0,30.9,49.7,16.2,315,0.9,2.6,29.7,49.8,17.0,315,1.7,2.7,30.9,47.1,17.6
,광주시,271,1.5,1.5,21.5,56.0,19.6,271,1.5,2.4,19.7,54.1,22.3,269,1.5,2.6,24.0,50.4,21.6
,대전시,137,0.3,0.9,29.4,52.6,16.9,137,1.2,0.9,27.4,56.3,14.2,137,2.2,6.1,28.9,45.8,17.0
,울산시,179,0.6,0.7,29.7,46.9,22.1,179,0.6,1.3,27.1,49.0,22.1,180,1.2,4.6,30.5,41.6,22.1
,경기도,"1,174",1.3,0.6,30.9,47.3,19.9,"1,174",1.4,2.3,27.8,46.5,22.0,"1,171",2.0,3.7,31.9,42.2,20.1
,강원도,153,1.4,0.7,29.1,48.6,20.2,153,1.5,2.4,29.6,46.0,20.4,153,0.7,4.0,30.8,43.6,20.9
,충청도,323,1.1,0.8,24.3,49.3,24.4,323,1.9,1.5,22.5,48.5,25.7,323,1.0,3.5,27.1,43.9,24.4
,전라도,396,1.2,1.9,27.3,48.1,21.4,396,0.1,3.1,26.9,47.9,22.0,396,1.4,3.0,31.9,42.5,21.2
,경상도,370,2.2,1.8,27.6,49.1,19.3,370,2.4,2.5,26.7,48.8,19.7,370,1.7,5.1,33.5,41.0,18.7
,기타(국외),49,0.0,0.0,40.9,52.0,7.1,49,0.0,3.1,41.2,43.6,12.1,49,0.0,7.2,42.1,36.1,14.7
성별,남자,"2,557",1.1,1.9,30.5,46.9,19.6,"2,557",1.5,2.9,28.1,47.4,20.1,"2,555",1.9,4.8,31.6,41.7,20.0
,여자,"2,858",1.0,0.7,29.8,50.2,18.3,"2,858",1.0,2.0,28.1,49.1,20.0,"2,857",1.4,4.1,31.7,43.9,18.9
연령별,15~20세,373,0.3,0.9,25.7,49.6,23.5,373,0.3,1.9,23.6,46.6,27.5,372,1.0,2.6,24.7,44.8,26.9
,21~30세,"1,910",0.4,0.6,29.1,49.7,20.2,"1,910",0.6,1.7,27.7,48.4,21.6,"1,910",1.0,4.3,30.6,42.9,21.2
,31~40세,"1,428",0.9,1.4,28.3,50.6,18.9,"1,428",1.6,2.1,24.9,51.6,19.9,"1,426",2.1,4.9,28.9,45.3,18.9
,41~50세,"1,017",1.3,1.6,30.0,47.9,19.1,"1,017",1.6,2.6,29.3,48.4,18.2,"1,017",2.0,4.4,33.8,42.7,17.1
,51~60세,537,3.5,2.3,38.7,42.5,13.0,537,2.5,4.4,35.2,42.6,15.3,536,2.7,4.5,40.5,36.6,15.8
,61세 이상,150,0.8,2.6,43.8,41.1,11.8,150,0.8,7.0,39.5,40.5,12.2,151,0.7,6.3,42.0,38.9,12.0
방문목적별,휴가 및 순수여행,"4,482",1.0,1.1,29.9,49.6,18.5,"4,482",1.2,2.4,27.6,48.9,19.9,"4,480",1.6,4.2,31.3,43.6,19.2
,비즈니스여행,473,1.6,2.0,33.4,47.1,15.9,473,1.7,2.6,31.6,48.3,15.9,473,2.1,6.1,34.2,41.8,15.7
,기타여행,460,1.0,2.3,29.4,41.1,26.1,460,1.3,2.6,28.9,42.0,25.1,459,1.3,4.6,31.9,36.3,25.9
여행형태별,개별여행,"4,994",1.0,1.1,30.0,49.0,18.8,"4,994",1.2,2.4,27.7,48.7,20.0,"4,992",1.7,4.4,31.3,43.1,19.5
,완전패키지여행,302,1.3,2.6,33.9,43.4,18.8,302,1.6,3.0,33.2,44.0,18.2,302,1.2,4.6,35.9,41.0,17.4
,부분패키지여행,119,0.0,3.2,27.8,46.1,22.9,119,1.3,2.2,30.1,42.3,24.1,118,1.0,6.4,33.8,37.7,21.1
방문횟수별,1회,"1,617",0.9,1.2,28.8,50.1,19.1,"1,617",1.2,2.1,26.8,49.2,20.8,"1,616",1.8,3.6,30.4,42.8,21.4
,2회,"1,465",1.2,0.6,29.9,49.3,19.0,"1,465",0.8,1.8,27.9,49.7,19.7,"1,463",1.1,3.7,33.2,44.0,18.0
,3회,832,1.2,1.6,29.7,46.9,20.6,832,1.9,2.2,30.1,44.5,21.2,832,1.9,4.5,31.2,40.8,21.6
,4회 이상,"1,502",0.9,1.8,32.2,47.4,17.7,"1,502",1.3,3.4,28.5,47.9,18.9,"1,501",1.7,6.0,31.7,43.0,17.6
