날짜,교통,문화/레져,소매,쇼핑,숙박,식음료,유흥
16-Sep,928,35989,1874530,3526659,97797,70537,1241
16-Oct,933,36925,1936281,3527801,102200,73676,1147
16-Nov,492,16015,1293647,2514181,28464,38627,816
16-Dec,243,15518,1374573,2672496,32880,40187,1573
17-Jan,531,25732,1497812,2856187,42743,57580,1463
17-Feb,250,20152,1505712,2658958,47791,51508,2245
17-Mar,452,5049,577024,899679,22357,20461,1073
17-Apr,564,2763,133716,658120,20903,14083,724
17-May,517,813,144861,725460,23913,14026,1229
17-Jun,448,1152,135553,798339,35486,13807,887
17-Jul,942,2979,164722,997000,46970,22493,742
17-Aug,541,3631,154323,1343351,49784,25494,1060
17-Sep,511,1915,166033,1048306,54697,19031,1020
17-Oct,264,2399,163895,930188,34586,21115,795
17-Nov,139,989,127060,805729,18405,13719,493
17-Dec,361,66175,109645,1167138,366491,16009,864
