업소명,업종명,소재지도로명주소,위도,경도
1100로,민박,제주특별자치도 서귀포시 1100로 168-5,33.26248 ,126.44416 
에즈빌리지 듀동,민박,제주특별자치도 서귀포시 1100로 273-13,33.27151 ,126.44768 
마르앤루즈 민박,민박,제주특별자치도 서귀포시 1100로 273-2,33.27106 ,126.44787 
에즈빌리지,민박,제주특별자치도 서귀포시 1100로 273-2,33.27106 ,126.44787 
에즈빌리지,민박,제주특별자치도 서귀포시 1100로 273-2,33.27106 ,126.44787 
중문와우펜션,민박,제주특별자치도 서귀포시 1100로 44,33.25444 ,126.43464 
펭귄로드,민박,제주특별자치도 서귀포시 1100로 49번길 24,33.25482 ,126.43228 
산을 품은 펜션,민박,제주특별자치도 서귀포시 516로 652,33.30691 ,126.60028 
휴 민박,민박,제주특별자치도 서귀포시 516로436번길 162,33.27687 ,126.59788 
강정누림,민박,제주특별자치도 서귀포시 강정하로 36,33.23580 ,126.47388 
뮤지엄스테이,민박,제주특별자치도 서귀포시 검은여로 130번길 68-12,33.25013 ,126.58791 
달세뇨하우스,민박,제주특별자치도 서귀포시 검은여로 176-40,33.25597 ,126.58939 
채우리네,민박,제주특별자치도 서귀포시 검은여로 67,33.24934 ,126.58135 
시루내민박,민박,제주특별자치도 서귀포시 검은여로 79,33.25064 ,126.58107 
옛마을,민박,제주특별자치도 서귀포시 검은여로 80,33.25080 ,126.58173 
상추네 민박,민박,제주특별자치도 서귀포시 검은여로 81-3,33.25060 ,126.58069 
소보록 요보록,민박,제주특별자치도 서귀포시 검은여로 81-7,33.25052 ,126.58034 
설문대하우스,민박,제주특별자치도 서귀포시 검은여로 87-3,33.25116 ,126.58105 
붕 민박,민박,제주특별자치도 서귀포시 검은여로130번길 48,33.25096 ,126.58807 
제주봄 스테이,민박,제주특별자치도 서귀포시 검은여로130번길68-16,33.24939 ,126.58923 
한라하이츠,민박,제주특별자치도 서귀포시 고근산로202번길 94,33.26867 ,126.51827 
외돌개 나라,민박,제주특별자치도 서귀포시 남성로 122,33.24203 ,126.55340 
별빛옥상,민박,제주특별자치도 서귀포시 남성로 142-2,33.24338 ,126.55490 
MTOK,민박,제주특별자치도 서귀포시 남성로128번길 27,33.24169 ,126.55631 
서귀포푸른바다,민박,제주특별자치도 서귀포시 남성로128번길 37-10,33.24192 ,126.55766 
나날 게스트하우스,민박,제주특별자치도 서귀포시 남성중로 121번길14,33.24263 ,126.55546 
토토,민박,제주특별자치도 서귀포시 남원읍 공천포로 137-4,33.26880 ,126.64744 
올레5,민박,제주특별자치도 서귀포시 남원읍 공천포로 137-5,33.26869 ,126.64700 
공천포별장,민박,제주특별자치도 서귀포시 남원읍 공천포로 137-6,33.26876 ,126.64723 
선데이 제주,민박,제주특별자치도 서귀포시 남원읍 공천포로 51,33.26349 ,126.64096 
허밍제주,민박,제주특별자치도 서귀포시 남원읍 공천포로 59,33.26430 ,126.64083 
공천포 게스트하우스,민박,제주특별자치도 서귀포시 남원읍 공천포로 63,33.26462 ,126.64099 
공천포 간세다리,민박,제주특별자치도 서귀포시 남원읍 공천포로 71,33.26531 ,126.64123 
쉼팡민박,민박,제주특별자치도 서귀포시 남원읍 공천포로 77-3,33.26574 ,126.64142 
공천포 민박,민박,제주특별자치도 서귀포시 남원읍 공천포로 93,33.26646 ,126.64294 
오빌하우스,민박,제주특별자치도 서귀포시 남원읍 공천포로11번길 15,33.26487 ,126.64057 
안녕메이,민박,제주특별자치도 서귀포시 남원읍 공천포로11번길 9,33.26441 ,126.64013 
