상호명,소재지,위도,경도
누가빌리지호스텔,제주특별자치도 서귀포시 산록남로 2704(토평동 3201),33.30179 ,126.50959 
제이하우스,제주특별자치도 서귀포시 중산간서로 241(강정동 3786-1),33.26077 ,126.48553 
비울채울,제주특별자치도 서귀포시 검은여로130번길 73(보목동 1569),33.24934 ,126.58958 
가산토방 호스텔,제주특별자치도 서귀포시 인정오름로86번길 3(토평동 3077. 3079-1),33.28772 ,126.57769 
오션트리,제주특별자치도 서귀포시 월드컵로 188(강정동 702-2) ,33.23305 ,126.50558 
올레요리조트,제주특별자치도 서귀포시 이어도로 720(강정동 2498-3),33.23475 ,126.49278 
코델리아호스텔,제주특별자치도 서귀포시 성산읍 일주동로4120번길 23-16 (오조리 937-1),33.45939 ,126.90981 
The BB's JEJU,제주특별자치도 서귀포시 이어도로 760(강정동 2479-4) ,33.24047 ,126.49301 
해성파크텔,제주특별자치도 서귀포시 천제연로 158-4(중문동 2165-2) ,33.25237 ,126.42154 
펠리스타운,제주특별자치도 서귀포시 성산읍 시흥하동로50번길 23(시흥리 12-98),33.47446 ,126.90804 
화이트캐슬,제주특별자치도 서귀포시 이어도로 1060(서호동),33.24569 ,126.52418 
비스비제주 앤 팜빌리지,제주특별자치도 서귀포시 속골로 29-10(호근동 1641-2),33.24249 ,126.52909 
오렌지호텔,제주특별자치도 서귀포시 태평로335번길 3(서귀동 317-9),33.24720 ,126.55744 
펠리체리조트,제주특별자치도 서귀포시 태평로 111(호근동 479),33.24430 ,126.53509 
주식회사 포트에비뉴,제주특별자치도 서귀포시 대포동서로 63-19(대포동 2118),33.24195 ,126.43797 
돔베리조트,제주특별자치도 서귀포시 태평로92번길34(호근동 1591),33.24143 ,126.53108 
성산비치호텔,제주특별자치도 서귀포시 성산읍 성산등용로 13(성산리 234-19),33.46968 ,126.93145 
천지연호텔,제주특별자치도 서귀포시 솔동산로 40(서귀동 654-5),33.24194 ,126.56247 
휴호스텔,제주특별자치도 서귀포시 구산봉로21번길 62(하원동 1378-1),33.25388 ,126.45350 
