구분,상호명,소재지,위도,경도
관광호텔업,(주)호텔신라 제주신라,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동 3039-3),33.24756 ,126.40812 
관광호텔업,㈜호텔롯데 롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35 (색달동 2812-4),33.24857 ,126.41056 
관광호텔업,하얏트리젠시 제주,제주특별자치도 서귀포시 중문관광로72번길 114 (색달동 3039-1),33.24558 ,126.40555 
관광호텔업,㈜교원 스위트호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 67 (색달동 2812-10),33.24933 ,126.40839 
관광호텔업,서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242  (토평동),33.24600 ,126.58101 
관광호텔업,해비치호텔,제주특별자치도 서귀포시 표선면 민속해안로 537(표선리 40-76),33.32345 ,126.84478 
관광호텔업,WE호텔,제주특별자치도 서귀포시 1100로 453-95(회수동 30),33.28626 ,126.44407 
관광호텔업,(주)호텔하나,제주특별자치도 서귀포시 중문관광로72번길 53(색달동 2812-2),33.24990 ,126.40829 
관광호텔업,호텔일구칠사,제주특별자치도 서귀포시 태평로 347 (서귀동 314-1),33.24679 ,126.55815 
관광호텔업,헤이서귀포,제주특별자치도 서귀포시 태평로 363  (서귀동 820-1),33.24642 ,126.56022 
관광호텔업,주식회사 호텔크리스탈,제주특별자치도 서귀포시 중정로 16(서귀동 316-4),33.24730 ,126.55817 
관광호텔업,호텔굿인 서귀포,제주특별자치도 서귀포시 태평로439번길 14(서귀동 411-13) ,33.24680 ,126.56593 
관광호텔업,호텔 테디밸리,제주특별자치도 서귀포시 안덕면 한창로 365(상창리 2892),33.29177 ,126.34826 
관광호텔업,부영CC관광호텔,제주특별자치도 서귀포시 남원읍 남조로 960(수망리 628-8),33.31905 ,126.70875 
관광호텔업,파인힐호텔,제주특별자치도 서귀포시 부두로 44(서귀동 776-1),33.24133 ,126.56447 
관광호텔업,호텔랑주,제주특별자치도 서귀포시 김정문화로27번길 23-3(강정동 160-2),33.25393 ,126.50823 
관광호텔업,호텔빠레브 주식회사,제주특별자치도 서귀포시 김정문화로 15(강정동 173),33.25234 ,126.50669 
관광호텔업,호텔 스카브로,제주특별자치도 서귀포시 예래해안로 15(하예동 1796-1 외 2필지),33.23389 ,126.37045 
관광호텔업,아리아호텔,제주특별자치도 서귀포시 중문관광로 23-1(색달동 2508),33.25612 ,126.41491 
관광호텔업,글래드호텔앤리조트㈜제주항공우주호텔,제주특별자치도 서귀포시 안덕면 녹차분재로 216(서광리 산39),33.30246 ,126.29431 
관광호텔업,켄싱턴 제주호텔,제주특별자치도 서귀포시 중문관광로72번길 60(색달동 2785),33.25203 ,126.40774 
관광호텔업,호텔 캘리포니아,제주특별자치도 서귀포시 김정문화로 27번길 14-4(강정동 164-1),33.25340 ,126.50775 
관광호텔업,풍경호텔,제주특별자치도 서귀포시 남성중로 147(서홍동 586),33.25426 ,126.55351 
관광호텔업,호텔화인,제주특별자치도 서귀포시 칠십리로 87(서귀동 782-3),33.24050 ,126.56516 
관광호텔업,베니키아 중문호텔,제주특별자치도 서귀포시 천제연로 166(중문동 2115-1),33.25215 ,126.42207 
관광호텔업,제주 부영호텔 & 리조트,제주특별자치도 서귀포시 중문관광로 222(중문동 2700-2),33.24255 ,126.42335 
관광호텔업,파크선샤인제주관광호텔,제주특별자치도 서귀포시 남성중로 135(서홍동 637),33.25426 ,126.55351 
관광호텔업,비케이호텔인제주,제주특별자치도 서귀포시 칠십리로91번길 12(서귀동 777-1)),33.24111 ,126.56430 
관광호텔업,블루마운틴관광호텔,제주특별자치도 서귀포시 성산읍 일출로 297(성산리 196-5),33.46379 ,126.93440 
관광호텔업,오션블루호텔,제주특별자치도 서귀포시 이어도로 67(대포동 2538),33.24047 ,126.49301 
관광호텔업,제주리시온관광호텔,제주특별자치도 서귀포시 표선면 표선동서로 263(표선리 591-1)  ,33.32476 ,126.83312 
관광호텔업,유어스호텔,제주특별자치도 서귀포시 천제연로 178번길 21(중문동 2129-2),33.25037 ,126.42364 
관광호텔업,그랜드메르호텔 제주,제주특별자치도 서귀포시 논짓물로 45(하예동 460-1 외 11필지),33.23993 ,126.38559 
관광호텔업,제주스테이,제주특별자치도 서귀포시 성산읍 신고로 11(고성리 496-2 외 2필지),33.44050 ,126.91575 
관광호텔업,히든클리프호텔&네이쳐,제주특별자치도 서귀포시 예래해안로 542(상예동 625),33.25507 ,126.40239 
관광호텔업,성산썬라이즈호텔,제주특별자치도 서귀포시 성산읍 성산등용로17번길 35(성산리 169-16),33.46237 ,126.93093 
관광호텔업,호텔더본제주,제주특별자치도 서귀포시 색달로 18(색달동 2138),33.25957 ,126.40604 
관광호텔업,playce(플레이스),제주특별자치도 서귀포시 성산읍 동류암로 20(고성리 297-1. 296-6. 296-10),33.44892 ,126.91756 
관광호텔업,제주 티라 호텔,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 41,33.44950 ,126.92072 
관광호텔업,제주신화월드 호텔 앤 리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,33.30362 ,126.31481 
관광호텔업,호텔 아루미,제주특별자치도 서귀포시 색달중앙로 38,33.25833 ,126.41403 
관광호텔업,골드윈호텔&스위트,제주특별자치도 서귀포시 이어도로 1032,33.24420 ,126.52196 
한국전통호텔업,씨에스개발㈜ 씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 198 (중문동 2563-1) ,33.24290 ,126.42044 
가족호텔업,그랑빌 가족호텔,제주특별자치도 서귀포시 중문관광로 17  (색달동 2512),33.25639 ,126.41517 
가족호텔업,중문빌리지 가족호텔,제주특별자치도 서귀포시 예래로 270(하예동 141),33.24270 ,126.38525 
가족호텔업,송악리조트,제주특별자치도 서귀포시 대정읍 형제해안로 256-5. 256-6 . 256-8,33.21198 ,126.29201 
가족호텔업,담앤루,제주특별자치도 서귀포시 이어도로343번길 63  (대포동 1174),33.24531 ,126.45129 
