종류,시설명,소재지
휴양콘도,제주동물테마파크,제주특별자치도 제주시 조천읍 선흘리 4159
가족호텔,올레리조트,제주특별자치도 제주시 애월읍 신엄리 2867-2 외4
휴양콘도,알베로 벨로 휴양콘도,제주특별자치도 제주시 구좌읍 월정리 33-5 외 6
가족호텔,금강산가족호텔,제주특별자치도 제주시 한림읍 협재리 929
가족호텔,다인리조트,제주특별자치도 제주시 애월읍 고내리 79-8 외4
휴양콘도,한라산휴양콘도,제주특별자치도 제주시 오등동 산 57일원
가족호텔,한스리조트가족호텔,제주특별자치도 제주시 한림읍 협재리 1165 외1
관광호텔,다인씨앤디휴양콘도미니엄,제주특별자치도 제주시  용담3동 1181-4 외3
휴양콘도,대림썬하우스가족호텔,제주특별자치도 제주시 한림읍 대림리 1403-2 외1
가족호텔,납읍 권영찬 가족호텔,제주특별자치도 제주시 애월읍 납읍리104 외1
휴양콘도,라온프라이빗타운 휴양콘도,제주특별자치도 제주시 한림읍 협재리 산 149-6 일원
가족호텔,브띠크호텔 빌라드애월,제주특별자치도 제주시 애월읍 신엄리 2768-7 외2
휴양콘도,제주폴로승마리조트휴양콘도,제주특별자치도 제주시 구좌읍 행원리 3260 외12
휴양콘도,라온프라이빗 타운 관광호텔,제주특별자치도 제주시 한림읍 협재리 산 149-6 일원
관광호텔,임페리얼가족호텔,제주특별자치도 제주시 애월읍 고내리 486-2 외3
휴양콘도,지수휴양콘도,제주특별자치도 제주시 애월읍 신엄리 2737-4 외5
가족호텔,세기가족호텔,제주특별자치도 제주시 애월읍 구엄리 799-6 외1
가족호텔,하이트관광호텔,제주특별자치도 제주시 이도1동 1244-7
관광호텔,제주그린벨리관광타운휴양콘도,제주특별자치도 제주시 노형동 산 13 외3
가족호텔,나인리조트리조트,제주특별자치도 제주시 해안동 2108-1 외1
호스텔,롯데시티호텔제주,제주특별자치도 제주시 연동 2324-6 외4
관광호텔,제주아모렉스가족호텔,제주특별자치도 제주시 도두1동 1742 외2
가족호텔,조은올레관광호텔,제주특별자치도 제주시 삼도1동 580-31
관광호텔,아랑좋을호스텔,제주특별자치도 제주시 오등동 629
호스텔,비체리조트,제주특별자치도 제주시 구좌읍 하도리 2999-1 외4
호스텔,inter-beach hotel jeju,제주특별자치도 제주시 조천읍 함덕리 1269-19
관광호텔,이호리조트 호스텔,제주특별자치도 제주시 이호1동 295-1
호스텔,아마스빌 호스텔,제주특별자치도 제주시 애월읍 고내리 13-3 외1
호스텔,용담동 로긴가족호텔,제주특별자치도 제주시 용담3동 2389 외1
가족호텔,해미안 호스텔,제주특별자치도 제주시 외도2동 338-1
호스텔,대명리조트제주신관공휴양콘도,제주특별자치도 제주시 조천읍 함덕리 954-1
가족호텔,관광호텔 더레드,제주특별자치도 제주시 이도2동 1176-11 외1
호스텔,풍산드림랜드 휴양콘도,제주특별자치도 제주시 애월읍 하가리 215 외24(17)
호스텔,용담동 화이트힐,제주특별자치도 제주시 용담3동 2208 외3(1)
가족호텔,보물섬 호스텔,제주특별자치도 제주시 한림읍 협재리 12 외2
호스텔,용두암 캐빈 호스텔,제주특별자치도 제주시 용담3동 1181-3
호스텔,아라포레 호스텔,제주특별자치도 제주시 한림읍 귀덕리 2723
호스텔,카이호스텔,제주특별자치도 제주시 한림읍   협재리 2021-1
호스텔,홍익제주호텔,제주특별자치도 제주시 한림읍 협재리 1165 외 1
호스텔,우림호스텔,제주특별자치도 제주시 애월읍 하귀2리 2693-3 외3
호스텔,수산리 코리아 펄스 호스텔,제주특별자치도 제주시 애월읍 수산리 2050 외1
호스텔,수산리 한국의 맥호스텔,제주특별자치도 제주시 애월읍 수산리 2054-4 외1
호스텔,파인스톤 관광호텔,제주특별자치도 제주시 애월읍 구엄리 1201 외 3
관광호텔,파크사이드관광호텔,제주특별자치도 제주시 연동 270-1 외 1
가족호텔,씨제이관광호텔,제주특별자치도 제주시 이도2동 1776-14
관광호텔,에바다 호스텔,제주특별자치도 제주시 이호1동 1812-8 외1
가족호텔,해피드림가족호텔,제주특별자치도 제주시 용담3동 2288
호스텔,상원호스텔,제주특별자치도 제주시 일도1동 1345
가족호텔,오슬로 관광호텔,제주특별자치도 제주시 용담3동 2398
관광호텔,현대호텔,제주특별자치도 제주시 연동 301-3
관광호텔,이비사호텔,제주특별자치도 제주시 노형동 928-1 외1
관광호텔,유니관광호텔,제주특별자치도 제주시 애월읍 구엄리1216외6 (구엄리1216 외9)
호스텔,부건 휴양콘도,제주특별자치도 제주시 오등동 43756
휴양콘도,스완지,제주특별자치도 제주시 이호1동 365
호스텔,레브호텔,제주특별자치도 제주시 연동 292-17
호스텔,신촌리551 가족호텔,제주특별자치도 제주시 조천읍 신촌리 551 외4
호스텔,호텔루트,제주특별자치도 제주시 일도2동 371-3 외2
관광호텔,근상프리즘관광호텔,제주특별자치도 제주시 애월읍 신엄리 929 외16
휴양콘도,제주황토리조트,제주특별자치도 제주시 애월읍 하가리 120-2
호스텔,가족호텔 펄리,제주특별자치도 제주시 해안동 2131-1 외3
가족호텔,MJ호스텔,제주특별자치도 제주시 연동 261-67
호스텔,제주코아관광호텔,제주특별자치도 제주시 연동 2
관광호텔,에덴호스텔,제주특별자치도 제주시 용담3동 2382 외1
가족호텔,아인피플가족호텔,제주특별자치도 제주시 내도동 239-1
가족호텔,더블유호텔 탑동점,제주특별자치도 제주시 건입동 1388-2
관광호텔,제주리조트,제주특별자치도 제주시 애월읍 하귀2리 2869-4 외2
호스텔,큐리오시티관광호텔,제주특별자치도 제주시 연동 157694
호스텔,샹그릴라호텔,제주특별자치도 제주시 해안동  2101-3 외5
가족호텔,노형동관광호텔,제주특별자치도 제주시 노형동 904-11
관광호텔,럭키관광호텔,제주특별자치도 제주시 외도1동 498-9
관광호텔,도평동 호스텔,제주특별자치도 제주시 도평동 446
관광호텔,다인비치 관광호텔,제주특별자치도 제주시 애월읍 고내리 84 외4
관광호텔,해호텔,제주특별자치도 제주시 용담3동 1161
관광호텔,윈드힐리조트,제주특별자치도 제주시 애월읍 신엄리 2734-1
