특성별(1),특성별(2),응답자수 (명),호텔 (%),모텔/호스텔 (%),게스트하우스 (%),펜션 (%),콘도/리조트 (%),친척/친구집 (%),숙박하지 않음 (%),기타 (%)
전체,소계,6181,48.8,2.4,6,18.6,17.5,0.5,4.9,1.3
성별,남자,2600,48.7,3.7,4.7,17.3,17.9,0.3,6.1,1.3
성별,여자,3581,49,1.4,7,19.6,17.2,0.6,4,1.2
연령별,15~20세,127,36.1,1,15.6,18.1,23.4,1,3.6,1.1
연령별,21~30세,1412,53,2.1,16.7,14,8,0.8,4.6,0.7
연령별,31~40세,1518,55.8,2.2,4,16.5,16,0.2,4.4,0.8
연령별,41~50세,1250,45.2,2.1,1.9,21.9,21.9,0.4,4.9,1.7
연령별,51~60세,1371,44,3.2,2.1,20.7,22.5,0.4,5,2.1
연령별,61세 이상,503,41.1,2.8,1,23.9,22.7,0.5,7.1,0.8
방문목적별,휴가 및 순수여행,5571,49.8,1.6,6.1,19.7,18.1,0.4,3,1.2
방문목적별,비즈니스여행,405,51.9,12.1,3.4,5.8,12.2,0.4,13.6,0.6
방문목적별,기타여행,204,16.9,4.6,8.7,13.2,12.3,2.3,37.7,4.3
여행형태별,개별여행,5884,48.6,2.4,6.3,19,17,0.5,5.1,1.1
여행형태별,완전패키지여행,248,52.6,2.1,0.1,8.1,31.5,0,0.5,5.1
여행형태별,부분패키지여행,49,52.3,0,5.1,29.8,10.2,2.5,0,0
방문횟수별,1회,1934,45.2,2.2,6.1,21.6,20.5,0.5,3,0.9
방문횟수별,2회,2483,52.2,1.2,5.8,18.8,17.4,0.2,3.4,1
방문횟수별,3회,813,49.3,3.6,7.2,16.9,16.6,0.6,3.8,1.9
방문횟수별,4회 이상,951,47,4.8,5.5,13.4,12.5,1.1,13.6,2.2
