순번,상호명,소재지,객실수,연락처,데이터기준일자
관광호텔업,글래드호텔앤리조트(주)메종글래드제주,제주특별자치도 제주시 노연로 80 (연동),512,064-747-5000,2019-09-30
관광호텔업,제주오리엔탈호텔,제주특별자치도 제주시 탑동로 47(삼도이동),321,064-752-8222,2019-09-30
관광호텔업,제주KAL호텔,제주특별자치도 제주시 중앙로 151 (이도일동),282,064-724-2001,2019-09-30
관광호텔업,제주썬호텔,제주특별자치도 제주시 삼무로 67 (연동),202,064-741-8000,2019-09-30
관광호텔업,제주퍼시픽호텔,제주특별자치도 제주시 서사로 20 (용담일동),177,064-758-2500,2019-09-30
관광호텔업,라마다프라자제주호텔,제주특별자치도 제주시 탑동로 66 (삼도이동),400,064-729-8100,2019-09-30
관광호텔업,제주로얄호텔,제주특별자치도 제주시 신대로12길 45 (연동),126,064-743-2222,2019-09-30
관광호텔업,제주선샤인호텔,제주특별자치도 제주시 조천읍 신북로 481-9(함덕리),72,064-784-2525,2019-09-30
관광호텔업,스타즈호텔 제주 로베로,제주특별자치도 제주시 관덕로 26 (삼도이동),121,064-757-7111,2019-09-30
관광호텔업,제주서울관광호텔,제주특별자치도 제주시 탑동로 5(삼도이동),108,064-752-2211,2019-09-30
관광호텔업,제주팔레스관광호텔,제주특별자치도 제주시 탑동로 9(삼도이동),94,064-753-8811,2019-09-30
관광호텔업,뉴아일랜드 관광호텔,제주특별자치도 제주시 연동6길 17 (연동),100,064-712-1300,2019-09-30
관광호텔업,펄호텔 제주,제주특별자치도 제주시 신대로20길 49 (연동),88,064-742-8871,2019-09-30
관광호텔업,제주 하와이 관광호텔,제주특별자치도 제주시 사장3길 32 (연동),120,064-742-0061,2019-09-30
관광호텔업,호텔 하니 크라운,제주특별자치도 제주시 관덕로 56 (이도일동),61,064-758-4200,2019-09-30
관광호텔업,제주마리나관광호텔,제주특별자치도 제주시 신대로 45 (연동),80,064-746-6161,2019-09-30
관광호텔업,삼해인관광호텔,제주특별자치도 제주시 도령로 108 (연동),86,064-742-7775,2019-09-30
관광호텔업,금륭관광호텔,제주특별자치도 제주시 삼무로 79(연동),70,064-747-8885,2019-09-30
관광호텔업,제주아일랜드호텔리조트(휴업),제주특별자치도 제주시 애월읍 평화로 2477(고성리),101,064-799-8222,2019-09-30
관광호텔업,오션그랜드호텔,제주특별자치도 제주시 조천읍 조함해안로 490(함덕리),74,064-783-0007,2019-09-30
관광호텔업,(주)블랙스톤리조트,제주특별자치도 제주시 한림 금악리 산54,36,064-795-2126,2019-09-30
관광호텔업,호텔 스카이파크 제주,제주특별자치도 제주시 삼무로 48(연동),147,064-797-0000,2019-09-30
관광호텔업,라자관광호텔,제주특별자치도 제주시 연동6길 33 (연동),95,064-745-8100,2019-09-30
관광호텔업,메이더호텔,제주특별자치도 제주시 구좌읍 일주동로 1626,54,064-766-8888,2019-09-30
관광호텔업,뉴코리아호텔,제주특별자치도 제주시 은남길 37 (연동),73,064-744-4333,2019-09-30
관광호텔업,코쿤애월,제주특별자치도 제주시 애월읍 중엄3길 50,30,064-712-2266,2019-09-30
관광호텔업,뉴맨하탄관광호텔,제주특별자치도 제주시 도령로 66(연동),56,064-742-7991,2019-09-30
관광호텔업,호텔라온제주,제주특별자치도 제주시 한림읍 금능남로 127,51,064-795-8000,2019-09-30
관광호텔업,파크사이드관광호텔,제주특별자치도 제주시 도령로 126(연동),70,064-746-4545,2019-09-30
관광호텔업,애플관광호텔,제주특별자치도 제주시 동광로 45 (이도일동),40,064-725-1552,2019-09-30
관광호텔업,관광호텔 더레드,제주특별자치도 제주시 동광로6길 10 (이도이동),59,064-725-7252,2019-09-30
관광호텔업,엠버시티호텔,제주특별자치도 제주시 노연로 13(노형동),51,064-711-8500,2019-09-30
관광호텔업,현대관광호텔,제주특별자치도 제주시 신대로 68(연동),43,064-742-2714,2019-09-30
관광호텔업,호텔루트,제주특별자치도 제주시 고마로15길33(일도이동),77,064-755-8813,2019-09-30
관광호텔업,올레관광호텔,제주특별자치도 제주시 서광로 254(삼도일동),71,064-723-2727,2019-09-30
관광호텔업,로긴호텔,제주특별자치도 제주시 서해안로 442-9(용담삼동),31,064-712-2377,2019-09-30
관광호텔업,엠버호텔,제주특별자치도 제주시 삼무로 12(연동),72,064-745-7459,2019-09-30
관광호텔업,해호텔,제주특별자치도 제주시 서해안로 526(용담삼동),32,064-742-3356,2019-09-30
관광호텔업,롯데시티호텔 제주,제주특별자치도 제주시 도령로 82(연동),262,064-730-1070,2019-09-30
관광호텔업,엠버호텔 센트럴,제주특별자치도 제주시 노연로 24(노형동),130,064-747-0771,2019-09-30
관광호텔업,씨제이관광호텔,제주특별자치도 제주시 광양8길 24(이도2동),36,064-755-7413,2019-09-30
관광호텔업,제주미주호텔,제주특별자치도 제주시 신대로 60(연동),76,064-746-4141,2019-09-30
관광호텔업,호텔 컬리넌,제주특별자치도 제주시 사장1길 26(연동),59,064-743-6500,2019-09-30
관광호텔업,골든파크관광호텔,제주특별자치도 제주시 서광로2길 9(오라일동),38,064-752-5820,2019-09-30
관광호텔업,오라관광호텔,제주특별자치도 제주시 연북로 217,61,064-713-6261,2019-09-30
관광호텔업,씨엔관광호텔,제주특별자치도 제주시 일주서로 7490(내도동),60,064-711-7400,2019-09-30
관광호텔업,루스톤호텔,제주특별자치도 제주시 애월해안로 408,42,064-799-1671,2019-09-30
관광호텔업,루스톤빌라앤호텔,제주특별자치도 제주시 애월해안로 406,38,064-799-1671,2019-09-30
관광호텔업,씨엘블루호텔,제주특별자치도 제주시 서해안로 368-3(용담삼동),85,064-727-5888,2019-09-30
관광호텔업,그라벨 호텔,제주특별자치도 제주시 일주서로 7316(외도일동),141,064-740-8010,2019-09-30
관광호텔업,HOTEL LEO,제주특별자치도 제주시 삼무로 14(연동),95,064-754-7000,2019-09-30
관광호텔업,베니키아 아이진호텔,제주특별자치도 제주시 신대로 22길 4,75,064-745-0700,2019-09-30
관광호텔업,아스타호텔,제주특별자치도 제주시 서사로 129,130,064-710-1100,2019-09-30
관광호텔업,심스호텔,제주특별자치도 제주시 임항로 249(건입동),92,064-750-8988,2019-09-30
관광호텔업,케이 관광호텔,제주특별자치도 제주시 연동 251-79,41,064-743-2123,2019-09-30
관광호텔업,탑팰리스 관광호텔,제주특별자치도 제주시 중앙로 34(일도일동),112,064-721-8898,2019-09-30
관광호텔업,베니키아 호텔 제주,제주특별자치도 제주시 애월읍 애월해안로 554-10,94,064-799-3544,2019-09-30
관광호텔업,유니호텔,제주특별자치도 제주시 애월읍 애월해안로 656,62,064-741-5000,2019-09-30
관광호텔업,사하라,제주특별자치도 제주시 서광로 265(삼도1동),37,064-721-0707,2019-09-30
관광호텔업,신라스테이제주,제주특별자치도 제주시 노연로 100(연동),301,064-717-9000,2019-09-30
