항구명(1),국적구분(1),구분1(1),2017. 01,2017. 01,2017. 02,2017. 02,2017. 03,2017. 03,2017. 04,2017. 04,2017. 05,2017. 05,2017. 06,2017. 06,2017. 07,2017. 07,2017. 08,2017. 08,2017. 09,2017. 09,2017. 10,2017. 10,2017. 11,2017. 11,2017. 12,2017. 12
항구명(1),국적구분(1),구분1(1),컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계
항구명(1),국적구분(1),구분1(1),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤)
제주,국적선,내항,10082,43008,8134,33443,8357,36816,9349,38803,7444,32348,7053,28905,7249,28046,9054,31044,9142,30114,7930,26606,10081,34045,10430,33454
서귀포,국적선,내항,10033,68205,6134,41699,5786,39841,4399,29819,3689,26295,3904,26595,3802,24868,4853,32859,5136,34529,6299,42569,9967,67318,11836,79088
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,104305,396632,,,,,,,,,,,,,,,,,,,,,,
,,,75838,513685,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
항구명(1),국적구분(1),구분1(1),2018. 01,2018. 01,2018. 02,2018. 02,2018. 03,2018. 03,2018. 04,2018. 04,2018. 05,2018. 05,2018. 06,2018. 06,2018. 07,2018. 07,2018. 08,2018. 08,2018. 09,2018. 09,2018. 10,2018. 10,2018. 11,2018. 11,2018. 12,2018. 12
항구명(1),국적구분(1),구분1(1),컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계
항구명(1),국적구분(1),구분1(1),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤)
제주,국적선,내항,10992,35658,9579,31466,11149,35912,10947,35899,10257,32894,9058,30490,9264,33337,11618,34799,11094,33596,7685,24444,8193,27104,8563,36251
서귀포,국적선,내항,11663,78598,8980,60064,6120,41219,5003,32940,3996,27205,3990,27186,3485,23715,4704,31975,4149,30353,5735,39037,6774,46323,9358,63999
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,104305,396632,,,,,,,,,,,,,,,,,,,,,,
,,,75838,513685,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
항구명(1),국적구분(1),구분1(1),2019. 01,2019. 01,2019. 02,2019. 02,2019. 03,2019. 03,2019. 04,2019. 04,2019. 05,2019. 05,2019. 06,2019. 06,2019. 07,2019. 07,2019. 08,2019. 08,2019. 09,2019. 09,2019. 10,2019. 10,,,,
항구명(1),국적구분(1),구분1(1),컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,,,,
항구명(1),국적구분(1),구분1(1),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),계 (TEU),화물 (톤),,,,
제주,국적선,내항,8176,35893,5361,22898,6479,25379,5935,22060,6037,23705,5792,20542,5756,18691,6685,21660,5129,17459,6400,22300,,,,
서귀포,국적선,내항,11905,80742,5469,37964,5387,36555,4848,32880,4284,29287,5744,37547,3936,26771,3407,23164,3334,22794,5415,37898,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,61750,230587,,,,,,,,,,,,,,,,,,,,,,
,,,53729,365602,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2017.TEU,2018.TEU,2019.TEU,,,2017.TON,2018.TON,2019.TON,,,,,,,,,,,,,
,,,,,제주시,104305,118399,61750,,제주시,396632,391850,230587,,,,,,,,,,,,,
,,,,,서귀포시,75838,73957,53729,,서귀포시,513685,502614,365602,,,,,,,,,,,,,
