"주요품목별",2015,2016,2017
"쌀",100.00,90.03,85.08
"돼지고기",100.00,96.72,102.87
"쇠고기(국산)",100.00,114.98,116.61
"우유",100.00,99.89,99.72
"라면",100.00,99.59,105.74
"스낵과자",100.00,98.09,100.19
"달걀",100.00,103.98,119.14
"닭고기",100.00,99.86,101.97
"두부",100.00,100.31,98.18
"마른멸치",100.00,98.03,99.96
"고등어",100.00,93.36,97.61
"파",100.00,133.35,121.84
"참기름",100.00,100.16,92.41
"맛김",100.00,103.58,106.26
"콩나물",100.00,100.81,102.85
"탄산음료",100.00,101.20,101.87
"밀가루",100.00,97.36,95.24
"담배(국산)",100.00,100.00,100.00
"맥주",100.00,100.11,105.76
"소주",100.00,105.56,109.96
"세탁료",100.00,110.80,114.05
"전세",100.00,102.89,104.66
"월세",100.00,102.39,104.82
"전기료",100.00,95.88,89.83
"도시가스",100.00,88.13,103.85
"상수도료",100.00,101.28,102.61
"세탁세제",100.00,91.99,94.31
"외래진료비",100.00,102.31,104.94
"치과진료비",100.00,101.94,103.94
"감기약",100.00,103.16,101.54
"휘발유",100.00,93.42,100.48
"시내버스료",100.00,100.00,100.00
"이동전화료",100.00,100.00,100.00
"영화관람료",100.00,102.67,103.50
"삼겹살(외식)",100.00,104.79,109.07
"설렁탕",100.00,100.13,100.80
"미용료",100.00,103.63,112.23
"목욕료",100.00,99.09,102.34
