시간,싱가폴,말레이시아,인도네시아,베트남,동남아권,평균기온
15년1월,1211,1383,1799,593,4986,7.4
15년2월,921,1380,908,952,4161,7.3
15년3월,2231,4626,2842,4437,14136,10.4
15년4월,4032,6300,3392,7846,21570,15.1
15년5월,2507,2890,2483,2602,10482,18.8
15년6월,1332,1722,1515,1412,5981,22
15년7월,428,419,1752,651,3250,25.6
15년8월,598,674,504,832,2608,26.4
15년9월,1533,1856,880,1007,5276,23.2
15년10월,3144,4490,1324,2724,11682,19.2
15년11월,3610,5056,1224,2854,12744,15.2
15년12월,8073,9096,4084,896,22149,10
16년1월,1485,1886,1754,770,5895,6.1
16년2월,1414,3467,1494,3069,9444,7.3
16년3월,1876,4793,3050,2739,12458,10.8
16년4월,5554,7854,5735,3457,22600,15.6
16년5월,2616,3475,2416,1641,10148,18.9
16년6월,3524,3727,3866,1890,13007,22.2
16년7월,3741,3893,2501,2589,12724,27.4
16년8월,1413,1394,1627,1411,5845,28.5
16년9월,3563,2947,2432,1888,10830,23.9
16년10월,5894,6978,2766,2184,17822,20.1
16년11월,6670,9489,3126,1673,20958,13.7
16년12월,12816,16304,2940,1697,33757,9.5
17년1월,4014,5013,1524,1220,11771,6.6
17년2월,1578,4851,962,981,8372,6.8
17년3월,2569,4439,1521,1447,9976,9.8
17년4월,6786,10113,3439,2925,23263,15.7
17년5월,3711,5659,3015,2306,14691,19.5
17년6월,4468,5750,2780,2666,15664,22
17년7월,2655,2827,3205,4061,12748,29.2
17년8월,1147,1356,1043,1490,5036,28.7
17년9월,1313,959,780,1769,4821,24
17년10월,1270,1615,1427,3171,7483,19.3
17년11월,1219,1605,1311,1213,5348,12.6
17년12월,3002,5337,2058,1057,11454,7.2
18년1월,1295,4556,1771,1100,8722,4.9
18년2월,594,3751,1118,722,6185,5.5
18년3월,1269,4782,1774,1806,9631,11.4
18년4월,1401,6023,2439,3683,13546,15.9
18년5월,2322,5601,1564,2123,11610,19.1
18년6월,5881,8081,2470,3061,19493,22.3
18년7월,3694,5839,1869,3405,14807,27.3
18년8월,1828,3971,1815,3633,11247,28.8
18년9월,2183,6354,1643,2305,12485,23.9
18년10월,3094,6413,2081,2952,14540,17.9
18년11월,2440,6028,2608,2820,13896,13.9
18년12월,2571,6954,2389,2623,14537,8.7
