지명,검색점수
AJ렌터카제주지사,16
CGV제주,2
CGV제주노형,9
가시아방국수,374
고집돌우럭제주공항점,150
고집돌우럭중문점,14
곽지해수욕장,560
국수바다본점,261
금능해수욕장,133
김녕해수욕장,74
네거리식당,143
더마파크,5
더클리프,11
델문도,262
돌카롱사려니숲길점,45
돌카롱제주공항점,3
동문수산시장,33
동문재래시장,1299
렛츠런파크제주,42
롯데마트제주점,153
롯데호텔제주점,520
마노르블랑,570
만장굴,396
맛나식당,152
메종글래드제주호텔,206
몽상드애월,100
무지개렌트카,13
바다다,331
박물관은살아있다중문점,48
브릭캠퍼스,5
비자림,594
빛의벙커,545
사려니숲,738
산방산탄산온천,400
새별오름,426
새빌,4
서귀포매일올레시장,899
섭지코지,671
성산일출봉,763
성산포종합여객터미널,51
성산항,193
세화해수욕장,1
소노벨제주,150
쇠소깍,700
수목원테마파크,1
스타벅스제주용담DT점,11
신라스테이제주,16
신라호텔,540
아쿠아플라넷제주,717
엉또폭포,254
에코랜드,676
오는정김밥,502
오설록티뮤지엄,868
용눈이오름,102
용두암,570
용머리해안,66
우도도항선선착장,351
운정이네본점,75
이마트서귀포점,739
이마트신제주점,623
이마트제주점,387
이호테우해변,392
자매국수노형점,231
제주관광공사면세점,117
제주국제공항,900
제주국제컨벤션센터,41
제주김만복동문시장점,24
제주김만복본점,1367
제주김만복애월점,1
제주대학교병원,329
제주레일바이크,1
제주민속오일시장,12
제주민속촌,15
제주부영호텔리조트,86
제주시청,311
제주여미지식물원,1
제주오성식당,39
제주절물자연휴양림,55
제주항공우주박물관,231
제주항연안여객터미널,39
주상절리대,462
천제연폭포,9
천지연폭포,641
춘심이네본점,80
카멜리아힐,272
퍼시픽랜드,123
표선해수욕장,5
피규어뮤지엄제주,4
하이엔드제주,296
한림공원,3
한화리조트제주,526
함덕해수욕장,796
해비치리조트,10
해비치호텔,711
헬로키티아일랜드,3
협재해변,862
홈플러스서귀포점,14
휘닉스제주,102
휴애리자연생활공원,207
히든클리프호텔네이쳐,19
