"특성별(1)",특성별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"특성별(1)",특성별(2),시설(차량포함)상태,시설(차량포함)상태,시설(차량포함)상태,시설(차량포함)상태,시설(차량포함)상태,시설(차량포함)상태,종사원 친절도,종사원 친절도,종사원 친절도,종사원 친절도,종사원 친절도,종사원 친절도,교통수단 이용 편의성,교통수단 이용 편의성,교통수단 이용 편의성,교통수단 이용 편의성,교통수단 이용 편의성,교통수단 이용 편의성
"특성별(1)",특성별(2),응답자수 (명),전혀 그렇지 않다  (%),그렇지 않다 (%),보통이다 (%),그렇다 (%),매우 그렇다 (%),응답자수 (명),전혀 그렇지 않다  (%),그렇지 않다 (%),보통이다 (%),그렇다 (%),매우 그렇다 (%),응답자수 (명),전혀 그렇지 않다  (%),그렇지 않다 (%),보통이다 (%),그렇다 (%),매우 그렇다 (%)
"전체",소계,5812,1.9,3.9,22.0,45.9,26.3,5810,2.4,4.4,24.8,42.2,26.3,5810,2.5,4.3,19.5,44.2,29.6
"거주지별",서울시,1551,1.4,3.3,26.0,45.3,24.0,1550,2.0,4.5,28.6,42.5,22.4,1550,2.7,4.6,21.5,44.0,27.2
"거주지별",부산시,459,1.4,3.7,22.4,50.0,22.6,459,2.7,4.7,24.3,42.4,25.9,459,0.9,5.9,17.9,48.2,27.1
"거주지별",대구시,239,5.4,3.1,20.9,47.2,23.3,238,3.5,6.8,19.9,43.5,26.2,238,4.5,2.8,16.7,47.1,28.8
"거주지별",인천시,343,2.1,5.7,22.2,45.0,25.0,342,2.6,5.9,23.8,43.0,24.7,342,1.9,4.8,23.5,43.7,26.2
"거주지별",광주시,280,2.0,1.6,18.6,49.7,28.1,281,1.3,1.4,19.6,48.1,29.7,281,1.1,1.7,17.9,46.8,32.6
"거주지별",대전시,144,1.4,6.5,25.9,41.2,25.0,145,2.9,1.7,25.2,43.8,26.4,145,3.8,1.6,26.6,40.5,27.5
"거주지별",울산시,190,0.3,5.0,24.3,46.9,23.4,190,1.0,3.7,28.3,41.9,25.1,190,1.6,2.0,20.4,44.9,31.1
"거주지별",경기도,1241,2.5,4.3,21.2,44.2,27.8,1240,3.2,5.0,24.6,39.3,27.9,1240,2.7,5.4,19.2,41.4,31.4
"거주지별",강원도,166,1.3,4.3,14.7,50.7,29.0,166,3.3,2.2,19.5,45.8,29.2,166,1.3,3.4,16.5,48.9,29.9
"거주지별",충청도,354,2.7,4.7,14.6,46.6,31.4,354,1.3,3.9,21.1,43.0,30.7,354,3.1,3.8,16.8,43.7,32.6
"거주지별",전라도,412,1.1,3.2,19.0,48.3,28.5,412,2.5,5.0,24.8,39.5,28.2,412,2.6,4.7,15.4,42.7,34.6
"거주지별",경상도,383,2.3,3.5,20.9,43.8,29.5,383,1.8,3.0,21.6,44.9,28.8,383,2.5,2.5,16.0,48.8,30.2
"거주지별",기타(국외),50,0.0,7.8,23.2,32.9,36.1,50,0.0,4.5,31.6,33.6,30.2,50,5.0,2.1,34.1,32.7,26.0
"성별",남자,2784,2.2,3.6,21.5,46.3,26.4,2783,2.9,4.0,24.2,43.5,25.5,2783,2.3,3.7,19.5,47.4,27.1
"성별",여자,3028,1.7,4.2,22.4,45.5,26.2,3027,1.9,4.7,25.4,41.0,27.0,3027,2.6,4.8,19.4,41.2,31.9
"연령별",15~20세,399,0.3,4.1,20.2,46.4,29.1,398,1.5,5.6,22.0,40.3,30.7,398,2.3,7.6,19.3,40.5,30.3
"연령별",21~30세,2097,2.0,4.2,21.7,45.4,26.8,2097,2.4,4.5,25.1,41.3,26.7,2097,2.7,4.9,18.1,41.4,32.8
"연령별",31~40세,1516,1.5,4.4,21.3,48.8,24.0,1516,1.5,5.0,25.2,45.3,23.1,1516,1.6,3.2,18.1,49.9,27.2
