연번,구분,상세,2014년01월,2014년02월,2014년03월,2014년04월,2014년05월,2014년06월,2014년07월,2014년08월,2014년09월,2014년10월,2014년11월,2014년12월
1,아시아,일본,5022,5231,7985,12671,14355,8774,6373,7577,8705,8816,7754,3256
2,아시아,중국,83987,110010,140849,245106,240811,288996,388694,450359,306732,282994,178025,142529
3,아시아,홍콩,692,1758,2402,3653,2943,2764,2111,2722,2543,3167,2318,1332
4,아시아,대만,1740,1692,1837,2530,3225,3550,3570,3849,2872,3385,2455,1484
5,아시아,싱가폴,967,1617,2776,4165,2616,3524,1759,1038,2254,5989,5634,13968
6,아시아,말레이시아,1663,2716,3881,7950,3890,4497,2626,995,2808,8744,9091,15092
7,아시아,인도네시아,1392,1639,1722,4362,5270,2708,3811,1545,1307,2632,2634,7828
8,아시아,베트남,172,2640,1896,5088,4057,2290,3492,2141,1690,3541,2957,1950
9,아시아,기타,1962,5434,4207,10730,8569,2183,1679,1919,1795,9065,7575,7349
10,서구 등,미국,281,856,1162,2661,1720,1822,1694,1564,1798,4855,818,581
11,서구 등,기타,1573,2749,2642,5329,4357,4046,4352,4564,6213,8328,4215,2440
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
