구분,상세,2017년01월,2017년02월,2017년03월,2017년04월,2017년05월,2017년06월,2017년07월,2017년08월,2017년09월,2017년10월,2017년11월,2017년12월,데이터기준일자
아시아,일본,1905,1816,2940,4119,3652,6709,4894,7768,6710,5659,6222,2965,2017-12-31
아시아,중국,184306,180094,87669,28988,31382,33184,40825,38560,30753,32175,28329,31050,2017-12-31
아시아,홍콩,3109,3058,2609,6066,4959,5519,6532,5247,4344,3919,2061,1529,2017-12-31
아시아,대만,1450,1421,1259,2141,2069,3103,3384,3711,3256,3115,2254,1831,2017-12-31
아시아,싱가폴,4014,1578,2569,6786,3711,4468,2655,1147,1313,1270,1219,3002,2017-12-31
아시아,말레이시아,5013,4851,4439,10113,5659,5750,2827,1356,959,1615,1605,5337,2017-12-31
아시아,인도네시아,1524,962,1521,3439,3015,2780,3205,1043,780,1427,1311,2058,2017-12-31
아시아,베트남,1220,981,1447,2925,2306,2666,4061,1490,1769,3171,1213,1057,2017-12-31
아시아,태국,908,1088,1126,3135,4207,2603,2759,920,1110,819,640,4475,2017-12-31
아시아,기타,3338,1503,2696,7117,4266,4232,4913,4666,3943,5061,4065,3894,2017-12-31
서구 등,미국,1993,1762,3178,4903,3785,3097,3923,2534,2386,2437,1406,1247,2017-12-31
서구 등,기타,6777,5128,7919,16365,12044,12520,13965,9938,8234,9235,6320,4777,2017-12-31
