시도별,산업별,부가가치 항목별,2015,2016,2017,단위:백만원
제주특별자치도,총계,합계,600589,711947,764822,
제주특별자치도,총계,인건비,203726,274512,342864,
제주특별자치도,총계,임차료,94083,118892,131289,
제주특별자치도,총계,세금과공과,9740,9812,11673,
제주특별자치도,총계,감가상각비,78671,64286,63573,
제주특별자치도,총계,대손상각,966,599,651,
제주특별자치도,총계,국내선박 용선료,13000,2273,2753,
제주특별자치도,총계,영업이익,183837,218691,188678,
제주특별자치도,총계,부가가치세,16567,22883,23341,
제주특별자치도,육상운송 및 파이프라인 운송업,합계,278646,288912,245311,
제주특별자치도,육상운송 및 파이프라인 운송업,인건비,93611,109488,131775,
제주특별자치도,육상운송 및 파이프라인 운송업,임차료,3527,2201,1725,
제주특별자치도,육상운송 및 파이프라인 운송업,세금과공과,4628,4532,5981,
제주특별자치도,육상운송 및 파이프라인 운송업,감가상각비,59716,42330,33449,
제주특별자치도,육상운송 및 파이프라인 운송업,대손상각,720,488,465,
제주특별자치도,육상운송 및 파이프라인 운송업,국내선박 용선료,-,-,-,
제주특별자치도,육상운송 및 파이프라인 운송업,영업이익,110633,120950,64754,
제주특별자치도,육상운송 및 파이프라인 운송업,부가가치세,5811,8922,7161,
제주특별자치도,수상 운송업,합계,65702,62379,55633,
제주특별자치도,수상 운송업,인건비,23978,23817,24718,
제주특별자치도,수상 운송업,임차료,449,6692,3259,
제주특별자치도,수상 운송업,세금과공과,1278,1046,977,
제주특별자치도,수상 운송업,감가상각비,9521,9873,7948,
제주특별자치도,수상 운송업,대손상각,217,7,31,
제주특별자치도,수상 운송업,국내선박 용선료,13000,2273,2753,
제주특별자치도,수상 운송업,영업이익,14659,15273,12741,
제주특별자치도,수상 운송업,부가가치세,2600,3398,3206,
제주특별자치도,항공 운송업,합계,...,...,...,
제주특별자치도,항공 운송업,인건비,...,...,...,
제주특별자치도,항공 운송업,임차료,...,...,...,
제주특별자치도,항공 운송업,세금과공과,...,...,...,
제주특별자치도,항공 운송업,감가상각비,...,...,...,
제주특별자치도,항공 운송업,대손상각,...,...,...,
제주특별자치도,항공 운송업,국내선박 용선료,...,...,...,
제주특별자치도,항공 운송업,영업이익,...,...,...,
제주특별자치도,항공 운송업,부가가치세,...,...,...,
제주특별자치도,창고 및 운송관련 서비스업,합계,36490,61130,48237,
제주특별자치도,창고 및 운송관련 서비스업,인건비,21373,28885,30597,
제주특별자치도,창고 및 운송관련 서비스업,임차료,1478,1030,1582,
제주특별자치도,창고 및 운송관련 서비스업,세금과공과,1333,1159,618,
제주특별자치도,창고 및 운송관련 서비스업,감가상각비,2131,1563,1763,
제주특별자치도,창고 및 운송관련 서비스업,대손상각,29,104,155,
제주특별자치도,창고 및 운송관련 서비스업,국내선박 용선료,-,-,-,
제주특별자치도,창고 및 운송관련 서비스업,영업이익,7131,23806,9864,
제주특별자치도,창고 및 운송관련 서비스업,부가가치세,3015,4583,3657,
