"축제명",개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
"성산일출축제",성산일출봉 일원,2018-12-30,2019-01-01,성산일출봉에서 새해 첫 일출을 다 함께 반기는 축제,제주특별자치도,제주특별자치도,,064-760-4282,http://www.sunrisefestival.kr/,,제주특별자치도 서귀포시 성산읍 일출로 284-12,,33.4621467,126.9364271,2019-06-17
"서귀포겨울바다 국제펭귄수영대회",중문색달해수욕장,2019-01-01,2019-01-01,"일종의 극기체험을 통해 묵은해의 흔적을 지우고, 희망찬 새해를 설계하며 강한 정신력을 고취시키는 겨울 이벤트",사단법인 서귀포시관광협의회,서귀포시,,064-739-7201,http://cafe.daum.net/winter-sea-swim,,제주특별자치도 서귀포시 중문관광로 154-17,,33.2444327,126.4161942,2019-06-17
"제주윈터페스티벌",제주 칠성로상점가,2018-12-20,2019-01-06,제주시 원도심에서 즐길 수 있는 제주의 겨울,제주특별자치도. 제주관광공사,제주특별자치도. 제주관광공사,,064-740-6000,http://www.facebook.com/jejuwinterfestival,,제주특별자치도 제주시 관덕로15길 15,,33.5146078,126.5265933,2019-06-17
"제주 라프 별빛축제",다희연,2018-11-01,2019-03-15,"빛을 매개로 한 설치, 조형 예술 작품을 감상할 수 있는 축제",(주)아트플레쉬,(주)아트플레쉬,,064-784-9030,https://www.jejulaf.com/,,제주특별자치도 제주시 조천읍 선교로 115-1,,33.4868384,126.7070130,2019-06-17
"탐라국입춘굿놀이",목관아 일대,2019-02-02,2019-02-04,제주 원도심에서 만나는 봄맞이 축제,제주특별자치도,제주민예총,,064-728-2714,http://blog.daum.net/jepaf,,제주특별자치도 제주시 관덕로 19,,33.5133537,126.5214452,2019-06-17
"제주왕벚꽃축제",제주시 전농로 / 애월읍 장전리 일대,2019-03-27,2019-03-31,제주의 왕벚꽃 명소에서 즐기는 축제,전농로왕벚꽃축제추진위원회,전농로왕벚꽃축제추진위원회,,064-728-2751,,,제주특별자치도 제주시 전농로 40,,33.5041442705,126.517366545,2019-06-17
"제주들불축제",새별오름 일대,2019-03-07,2019-03-10,불·목축문화·소원성취를 소재로 한 전시·문화·체험 행사,제주시관광축제추진협의회,제주시,,064-728-2753,http://buriburi.go.kr/,,제주특별자치도 제주시 애월읍 화전길 201,,33.3511411,126.3877935,2019-06-17
"서귀포 유채꽃 국제걷기대회",제주월드컵경기장 광장,2019-03-23,2019-03-24,서귀포의 수려한 자연경관과 봄의 정취를 알리는 유채꽃 국제걷기대회,(사)한국체육진흥회 / (사)서귀포시관광협의회,서귀포시,,064-760-3320,,,제주특별자치도 서귀포시 월드컵로 33,,33.2462197433,126.5092776992,2019-06-17
"가파도청보리축제",가파도 일대,2019-03-30,2019-05-12,해마다 봄이 되면 청보리밭 위로 푸른 물결이 굽이치는 장관을 볼 수 있는 청보리 축제,가파도청보리축제위원회,가파도청보리축제위원회,,064-794-7130,,,제주특별자치도 서귀포시 대정읍 가파로 2,,33.1662342597,126.2689384,2019-06-17
"제37회 제주유채꽃축제",조랑말체험공원,2019-04-04,2019-04-07,제주의 멋진 풍경 속 유채꽃 속에 빠질 수 있는 축제의 장,제주유채꽃축제조직위원회,서귀포시,,064-787-3966,http://www.jejuflowerfestival.com/,,제주특별자치도 서귀포시 표선면 녹산로 381-15,,33.3830972779,126.7362849029,2019-06-17
