연번,구분,상세,2016년01월,2016년02월,2016년03월,2016년04월,2016년05월,2016년06월,2016년07월,2016년08월,2016년09월,2016년10월,2016년11월,2016년12월
1,아시아,일본,1646,1942,3471,5479,7885,3854,4131,4539,4032,5751,3291,2006
2,아시아,중국,142133,190761,199952,244440,301570,330235,356436,393479,276431,272842,184371,168872
3,아시아,홍콩,646,1115,2257,4241,3961,3688,3988,5307,4278,7955,3885,3436
4,아시아,대만,1927,2142,1874,2874,2711,3815,4440,4765,4778,4750,2253,1717
5,아시아,싱가폴,1485,1414,1876,5554,2616,3524,3741,1413,3563,5894,6670,12816
6,아시아,말레이시아,1886,3467,4793,7854,3475,3727,3893,1394,2947,6978,9489,16304
7,아시아,인도네시아,1754,1494,3050,5735,2416,3866,2501,1627,2432,2766,3126,2940
8,아시아,베트남,770,3069,2739,3457,1641,1890,2589,1411,1888,2184,1673,1697
9,아시아,태국,4667,4831,5119,5445,5850,1669,768,1538,2828,6073,4266,1451
10,아시아,기타,2152,1744,2590,4388,3807,7759,4004,3793,3110,3523,5256,4834
11,서구 등,미국,779,1389,2415,3780,2076,2716,3136,4086,4750,4922,1883,2010
12,서구 등,기타,5398,5200,8475,8996,8778,11099,9457,11504,11986,12592,8383,7969
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
