구분,상세,2018년1월,2018년2월,2018년3월,2018년4월,2018년5월,2018년6월,2018년7월,2018년8월,2018년9월,2018년10월,2018년11월,2018년12월,데이터기준일자
아시아,일본,3229,3045,5311,5984,7576,8664,9145,11084,7660,10075,9218,5643,2018-12-31
아시아,중국,30131,32782,42243,44257,50010,57754,65723,78485,70124,72022,58883,63706,2018-12-31
아시아,홍콩,1298,1468,2721,4146,3843,7080,4910,6192,4985,4916,4468,3058,2018-12-31
아시아,대만,1912,2485,3279,2971,3567,5290,4374,6354,4296,5589,5628,5596,2018-12-31
아시아,싱가폴,1295,594,1269,1401,2322,5881,3694,1828,2183,3094,2440,2571,2018-12-31
아시아,말레이시아,4556,3751,4782,6023,5601,8081,5839,3971,6354,6413,6028,6954,2018-12-31
아시아,인도네시아,1771,1118,1774,2439,1564,2470,1869,1815,1643,2081,2608,2389,2018-12-31
아시아,베트남,1100,722,1806,3683,2123,3061,3405,3633,2305,2952,2820,2623,2018-12-31
아시아,태국,4187,4017,5336,5140,5383,4445,1675,1760,4802,5840,5966,6164,2018-12-31
아시아,기타,3325,2545,3507,3119,2631,3000,3266,4297,3970,4810,4907,4344,2018-12-31
서구 등,미국,848,870,2067,2056,1582,2620,3049,3046,4151,4624,3546,2811,2018-12-31
서구 등,기타,3770,3659,6520,5463,4869,7370,7210,9307,10525,13059,11052,8453,2018-12-31
